DataSetId,app_name,handle,creator,trackers
100571,PayByPhone,com.paybyphone,PayByPhone Technologies Inc.,"26,12,17,27,48,105,219,85,55,312,49"
188423,Viber Messenger,com.viber.voip,Viber Media S.à r.l.,"17,27,48,52,105,135,312,49,118,382"
70688,Météo-France,fr.meteo,Météo-France,"25,27,35,37,31,88,48,65,7,92,89,105,106,121,72,90,312,49,34,107"
160317,Marmiton : Recettes gourmandes,com.aufeminin.marmiton.activities,aufeminin.com,"36,12,23,40,1,25,27,35,48,56,66,61,65,67,70,7,92,89,83,121,105,106,210,236,263,302,72,312,49,90,34,107,375"
149436,"Groupon - Shop Deals, Discounts & Coupons",com.groupon,"Groupon, Inc.","27,66,67,70,127,181,312"
83221,"Linxo - mon budget, ma banque",com.linxo.androlinxo,Linxo,"12,31,17,25,48,66,65,67,70,106,312,49"
171652,OkCupid Dating,com.okcupid.okcupid,okcupid.com,"17,3,25,35,48,66,18,65,67,70,105,106,127,312,49"
17999,Tinder,com.tinder,Tinder,"25,27,29,28,12,66,67,70,65,106,167,312,91"
55199,MYTF1,fr.tf1.mytf1,e-TF1,"40,27,31,66,67,70,148,401,266,224,312,11"
86318,Skyrock Radio,mobi.skyrock.SkyrockFM,Telefun,"37,25,27,35,48,66,88,65,67,69,70,7,92,89,121,105,106,213,224,72,312,90,34,107"
109196,Weather by WeatherBug,com.aws.android,Earth Networks,"15,25,27,38,35,48,53,56,66,61,65,67,70,52,92,121,105,106,289,145,196,265,72,218,312,90,259,169,107"
194757,Lyft,me.lyft.android,"Lyft, Inc.","17,38,66,67,70,207,312,49"
175344,Deezer Music Player: Stream any Song or Playlist,deezer.android.app,Deezer Mobile,"17,25,27,35,48,66,61,65,67,52,7,89,121,105,106,72,312,90,169,107,325"
100574,PayByPhone,com.paybyphone,PayByPhone Technologies Inc.,"26,12,17,27,48,105,219,85,55,312,49"
40350,PicsArt Photo Studio: Collage Maker & Pic Editor,com.picsart.studio,PicsArt,"17,25,27,35,66,67,70,65,61,159,52,92,106,167,218,312,49,169,107,382,146"
38351,BBM - Free Calls & Messages,com.bbm,BlackBerry Limited.,"25,27,65,61,106,283,312,49,118"
99883,WebMD for Android,com.webmd.android,"WebMD, LLC","17,40,27,56,66,67,69,70,250,43,312,49"
46732,WebMD Baby,com.webmd.baby,"WebMD, LLC","17,40,27,66,67,70,56,312"
159030,Medscape,com.medscape.android,"WebMD, LLC","17,40,27,56,66,67,69,70,312"
167853,SoundCloud - Music & Audio,com.soundcloud.android,SoundCloud,"17,3,27,56,61,67,70,52,49"
40629,Firefox Browser fast & private,org.mozilla.firefox,Mozilla,"28,52,221,312,49"
96995,Mohegan Sun Connecticut,com.mvl.MoheganSunConnecticut,Mohegan Sun,"17,27,48,52,105,254,155"
54737,Imgur: Awesome Images & GIFs,com.imgur.mobile,Imgur,"17,25,35,12,66,67,70,48,65,92,106,167,312,49,107"
97742,Airbnb,com.airbnb.android,"Airbnb, Inc","17,27,48,66,18,67,69,70,343,167,207,130,312,344,91"
80354,Marriott International,com.marriott.mrt,Marriott International,"40,280,201,155,49,115,149"
102085,TripAdvisor Hotels Flights Restaurants Attractions,com.tripadvisor.tripadvisor,TripAdvisor,"27,66,67,69,70,181,312,49"
181621,Foursquare City Guide,com.joelapenna.foursquared,Foursquare,"12,27,66,61,18,67,70,167,219,340,181,312"
117041,Mohegan Sun at Pocono Downs,com.mvl.MoheganSunPocono,Mohegan Sun Pocono,"17,27,48,52,105,254,155"
131729,,com.tranzmate,,"12,25,27,48,66,65,67,70,105,106,219,341,312,49"
23852,Pinterest,com.pinterest,Pinterest,"27,66,67,69,70,167,404,312,49,91"
167427,TED,com.ted.android,TED Conferences LLC,"28,48,56,105,312"
84095,Udemy Online Courses,com.udemy.android,Udemy,"28,12,27,48,66,67,70,105,167"
17193,Curiosity,com.curiosity.dailycuriosity,Curiosity.com,"27,69,48,174,312,49"
126233,Christian Mingle - Dating App,com.spark.christianmingle,ChristianMingle,"12,17,27,66,67,69,70,62,412,49"
45972,,com.sec.android.easyMover,,405
126808,NETGEAR Up,com.netgear.netgearup,"NETGEAR, Inc","27,48,105,192,206,312,126"
189967,FaceGrok,com.facegrok,Sean O'Brien,"15,26,28,12,25"
189968,FaceGrok,com.facegrok,Sean O'Brien,"15,26,28,25"
189971,FaceGrok,com.facegrok,Sean O'Brien,"15,26,28,12,25"
94999,HOLLA: random video chat,com.exutech.chacha,HOLLA,"27,66,333,52,49,91"
74655,Remind: Simple Classroom Communication,com.remind101,Remind101,"17,27,12,66,223,67,69,70,49"
131191,JioHealthHub,com.hh.healthhub,Reliance Jio Digital Services Pvt. Ltd.,"27,48,105,174,312,49"
76765,Opera Mini - fast web browser,com.opera.mini.native,Opera,"17,35,25,65,159,106,198,191,140,312,49,124"
133177,Find My Kids - GPS Tracker,com.fsp.android.g,Family Safety Production,"26,12,17,25,27,48,58,67,105,414,312,49"
91281,BIGO LIVE - Live Stream,sg.bigo.live,BIGO TECHNOLOGY PTE. LTD.,"12,48,66,67,70,333,105,361,382"
87934,VeryFitPro,com.veryfit2hr.second,Smart Wearable Devices,"48,66,67,70,99,105,119,190,361,312,49"
140390,CVS/pharmacy,com.cvs.launchers.cvs,cvs android,"16,40,32,27,38,48,66,67,70,105,280,219,250,312,49,149"
104051,LOVOO - Free Dating Chat,net.lovoo.android,LOVOO GmbH,"25,27,35,48,66,65,67,69,70,52,121,110,105,106,104,323,218,312,49,90,107,73,91"
121949,Trainline EU: Train Tickets,com.capitainetrain.android,Capitaine Train SAS,"28,38,48,312,49"
143118,,com.sudyapp,,"12,25,66,67,70,333,116,119,361"
68254,BBW Dating & Plus Size Chat,com.mason.wooplus,WooPlus,"25,12,333,190,361,49"
86233,Mingle2: Online Dating & Chat,mingle.android.mingle2,Minglenet,"27,35,48,66,223,67,70,121,105,281,219,254,72,312,49,90,353,354,169,355,146"
60583,Find Real Love  YouLove Premium Dating,com.jaumo.prime,Jaumo,"25,27,35,12,66,67,69,70,48,57,65,61,105,106,218,312,49,107,382"
144328,MeetMe: Chat & Meet New People,com.myyearbook.m,MeetMe.com,"15,25,27,38,35,53,66,61,65,67,70,159,83,121,106,133,278,289,163,219,185,184,198,199,210,196,301,72,218,312,49,90,259,169,107"
83060,TextNow - free text + calls,com.enflick.android.TextNow,"TextNow, Inc.","15,28,25,27,35,48,53,61,65,67,70,52,159,121,105,106,289,145,219,184,199,210,195,196,74,72,218,312,49,90,34,259,169,107"
167840,SoundCloud - Music & Audio,com.soundcloud.android,SoundCloud,"17,3,27,56,61,67,70,52,49"
99809,Shazam,com.shazam.android,Shazam Entertainment Limited,"25,27,35,66,61,65,67,70,106,208,312,49"
106830,"Payments, UPI, Bank Account, QR Scanner",net.one97.paytm,Paytm - One97 Communications Ltd.,"12,48,66,67,70,105,123,174,49"
44576,"Fleksy- Chat with gifs, stickers, web search & fun",com.syntellia.fleksy.keyboard,Fleksy,"27,125,174,49"
42034,Ryanair - Cheapest Fares,com.ryanair.cheapflights,Ryanair,"27,26,192,312,49"
83062,TextNow - free text + calls,com.enflick.android.TextNow,"TextNow, Inc.","15,28,25,27,35,48,53,61,65,67,70,52,159,121,105,106,289,145,219,184,199,210,195,196,74,72,218,312,49,90,34,259,169,107"
105395,Solitaire,com.mobilityware.solitaire,MobilityWare,"25,27,35,58,53,61,65,92,121,106,127,184,210,196,262,258,317,72,218,312,90,169,107"
134742,Molotov - TV en direct et en replay,tv.molotov.app,Molotov,"17,27,66,67,69,70,52,62,125,401,49"
121939,Trainline EU: Train Tickets,com.capitainetrain.android,Capitaine Train SAS,"28,38,48,312,49"
193475,Mi Fit,com.xiaomi.hm.health,"Anhui Huami Information Technology Co.,Ltd.","67,70,361"
85757,,com.meetup,,"17,27,48,105,49"
173101,4G WiFi Maps & Speed Test. Find Signal & Data Now.,com.staircase3.opensignal,OpenSignal.com,"27,48,49,352"
170706,"Glassdoor Job Search, Salaries & Reviews",com.glassdoor.app,Glassdoor Inc.,"17,27,48,56,66,67,69,70,105,135,133,312"
47927,SoundHound - Music Discovery & Hands-Free Player,com.melodis.midomiMusicIdentifier.freemium,SoundHound Inc.,"25,27,16,35,48,56,65,61,105,106,133,167,218,312,126,209"
179222,Fip - live radio & online genre radios,com.radiofrance.radio.fip.android,Radio France,"4,31,25,27,35,66,88,65,67,69,70,52,7,92,89,121,106,401,72,312,90,34,107"
1103,FidMe Loyalty Cards & Deals at Grocery Supermarket,fr.snapp.fidme,Snapp',"27,1,16,35,37,66,67,69,70,48,105,142,207,312,49"
40630,Firefox Browser fast & private,org.mozilla.firefox,Mozilla,"28,52,221,312,49"
147304,"France Inter - radio, podcasts",com.radiofrance.radio.franceinter.android,Radio France,"4,31,25,27,35,48,66,88,65,67,69,70,52,7,92,89,121,105,106,401,72,312,90,34,107,11"
167226,Huawei Health,com.huawei.health,Huawei Internet  Service,"48,97,105,116,361"
191304,Dailymotion: Videos for now,com.dailymotion.dailymotion,Dailymotion,"26,12,17,27,48,56,66,67,70,105,167,312,49"
85522,,net.zedge.android,,"17,25,27,35,48,66,61,65,67,69,70,121,105,106,167,301,218,312,49,34,126,107"
100572,PayByPhone,com.paybyphone,PayByPhone Technologies Inc.,"26,12,17,27,48,105,219,85,55,312,49"
13605,Period Tracker Clue: Period & Ovulation Tracker,com.clue.android,BioWink GmbH,"25,27,28,66,67,70,65,52,106,125,167,312,49"
197006,Aadhaar Status and Apply (official website),com.wAboutWorld_5081600,Little World,"53,61,57,106,104,219,185,184,193,140,218,312,90,169,355,369"
197209,mAadhar Online,com.IndianeAadharOnline,VR One - India,"53,61,57,106,104,219,185,184,193,140,218,312,90,355,369"
109855,"Ebates: Cash Back Rewards, Coupons & Promo Codes",com.ebates,Ebates,"17,25,27,48,66,67,70,52,135,167,340,312"
9552,"StubHub - Tickets to Sports, Concerts & Events",com.stubhub,StubHub,"40,42,27,38,66,67,70,132,167,219,192,130,49,149"
194146,Out of Milk - Grocery Shopping List,com.capigami.outofmilk,Out of Milk,"16,27,66,67,69,70,52,144,181"
12622,Mountain Jam Festival,com.aloompa.mountainjamfestival,"Townsquare Media, Inc.","27,66,67,70,48,105,153,312,49,102"
13570,Estimote,com.estimote.apps.main,Estimote,"27,48,105,118,102"
20634,Xperia Lounge (entertainment),com.sonyericsson.xhs,Sony Mobile Communications,"27,66,67,70,48,105,178,49,102"
26577,Taste of Country Festival,com.aloompa.tasteofcountry,"Townsquare Media, Inc.","27,66,67,70,48,105,153,312,49,102"
31001,BAA 2017,com.baa.marathon,B.A.A. Boston Marathon,"27,66,67,70,48,105,123,130,361,155,312"
31497,Olympic Channel,com.olympicchannel.olympics,Olympic Channel Services,"27,8,66,67,70,48,105,123,401,312,49"
32296,Bingo Browser app,com.wBingobrowserapp,INNOGREEN,"33,53,57,106,195,72,90,312,49,355"
