id,name,categories,code_signature,creation_date,network_signature,website
1,Teemo,['Analytics'],com.databerries.|com.geolocstation.,2017-09-24,databerries\.com,https://www.teemo.co
2,FidZup,['Analytics'],com.fidzup.,2017-09-24,fidzup,https://www.fidzup.com
3,Audience Studio (Krux),"['Analytics', 'Profiling']",com.krux.androidsdk,2017-09-24,krxd\.net,https://www.salesforce.com/products/marketing-cloud/data-management/?mc=DMP
4,Ad4Screen,['Advertisement'],com.ad4screen.sdk,2017-09-24,a4\.tl|accengage\.com|ad4push\.com|ad4screen\.com,http://www.ad4screen.com
5,Google DoubleClick,[],,2017-09-24,2mdn\.net|dmtry\.com|doubleclick\.com|doubleclick\.net|mng-ads\.com,https://www.doubleclickbygoogle.com/
6,Weborama,['Analytics'],com.weborama.,2017-09-24,weborama\.fr|weborama\.net,https://www.weborama.com
7,Smart,[],com.smartadserver.,2017-09-24,adsrvr\.org|akamai\.smartadserver\.com|cdn1\.smartadserver\.com|diff2\.smartadserver\.com|diff3\.smartadserver\.com|diff\.smartadserver\.com|eqx\.smartadserver\.com|gallery\.smartadserver\.com|im2\.smartadserver\.com|insight\.adsrvr\.org|itx5-publicidad\.smartadserver\.com|itx5\.smartadserver\.com|js\.adsrvr\.org|match\.adsrvr\.org|preview\.smartadserver\.com|rtb-csync\.smartadserver\.com|saspreview\.com|smartadserver\.com|smartadserver\.ru|tmk\.smartadserver\.com|usw\-lax\.adsrvr\.org,http://smartadserver.com/
8,JW Player,[],com.longtailvideo.jwplayer.,2017-09-24,g\.jwpsrv\.com|jwpltx\.com|p\.jwpcdn\.com,https://jwplayer.com
9,Loggly,['Analytics'],com.github.tony19.timber.loggly|com.github.tony19.loggly|com.visiware.sync2ad.logger.loggly.,2017-09-24,loggly\.com,http://loggly.com/
10,Xiti,[],,2017-09-24,,http://Xiti.com
11,OutBrain,[],com.outbrain.,2017-09-24,outbrain\.com,http://www.outbrain.com/
12,AppsFlyer,['Analytics'],com.appsflyer.,2017-09-24,appsflyer\.com,http://AppsFlyer.com
13,Ligatus,[],.LigatusManager|.LigatusViewClient|com.ligatus.android.adframework,2017-09-24,ligatus\.com,http://ligatus.com
14,Widespace,[],com.widespace.,2017-09-24,widespace\.com,http://widespace.com
15,AppNexus,[],com.appnexus.opensdk.,2017-09-24,247realmedia\.com|adnxs\.com|appnexus\.com|appnexus\.net,https://www.appnexus.com/
16,Localytics,"['Analytics', 'Profiling']",com.localytics.android.|com.localytics.androidx|com.localytics.react.,2017-09-24,analytics\.localytics\.com|manifest\.localytics\.com|profile\.localytics\.com|sdk-assets\.localytics\.com,http://localytics.com
17,Braze (formerly Appboy),"['Analytics', 'Advertisement', 'Location']",com.appboy,2017-09-24,appboy\.com,https://www.braze.com
18,mParticle,['Analytics'],com.mparticle,2017-09-24,mparticle\.com,http://mparticle.com
20,S4M,['Analytics'],com.sam4mobile.|.S4MAnalytic,2017-09-24,s4m\.io|sam4m\.com,http://www.s4m.io/
22,Sizmek,['Analytics'],.sizmek.,2017-09-24,serving-sys\.com,https://www.sizmek.com
23,Batch,"['Analytics', 'Profiling']",com.batch.android.,2017-09-24,batch\.com,https://batch.com
24,Sync2Ad,['Analytics'],com.visiware.sync2ad.dmp.,2017-09-24,sync2ad\.com,https://www.sync2ad.com/
25,Flurry,"['Analytics', 'Advertisement']",com.flurry.,2017-09-24,flurry\.com,http://www.flurry.com
26,HockeyApp,['Crash reporting'],net.hockeyapp.,2017-09-24,hockeyapp\.net,http://hockeyapp.net
27,Google CrashLytics,['Crash reporting'],io.fabric.|com.crashlytics.|com.google.firebase.crashlytics|com.google.firebase.crash.|io.invertase.firebase.crashlytics.,2017-09-24,crashlytics\.com,http://crashlytics.com
28,LeanPlum,"['Analytics', 'Profiling', 'Location']",com.leanplum.,2017-09-24,leanplum\.com,https://www.leanplum.com/
29,Tinder Analytics,['Analytics'],com.tinder.analytics|com.tinder.ads,2017-09-24,etl\.tindersparks\.com,http://tinder.com
30,Schibsted,[],.schibsted.,2017-09-25,schibsted\.com|schibsted\.io,http://www.schibsted.com/en/ir/
31,ATInternet,['Analytics'],com.atinternet.,2017-09-25,ati-host\.net,https://www.atinternet.com/en/
32,Tealium,['Analytics'],.tealium.,2017-09-25,tealiumiq\.com|tiqcdn\.com,https://tealium.com/
33,Nexage,[],com.nexage.android.|org.nexage.,2017-09-27,nexage\.com,http://nexage.com/
