id,name,categories,code_signature,creation_date,network_signature,website
17,Braze (formerly Appboy),"['Analytics', 'Advertisement', 'Location']",com.appboy,2017-09-24,appboy\.com,https://www.braze.com
28,LeanPlum,"['Analytics', 'Profiling', 'Location']",com.leanplum.,2017-09-24,leanplum\.com,https://www.leanplum.com/
37,Vectaury,"['Analytics', 'Profiling', 'Location']",io.vectaury.,2017-09-28,vectaury\.io,http://vectaury.io/
44,OpenLocate,['Location'],com.safegraph.|com.openlocate,2017-11-16,api\.safegraph\.com,https://www.safegraph.com/
57,Cuebiq,"['Analytics', 'Location']",com.cuebiq.cuebiqsdk.model.Collector|com.cuebiq.cuebiqsdk.receiver.CoverageReceiver,2017-12-03,cuebiq\.com,http://www.cuebiq.com/
77,HyperTrack,['Location'],com.hypertrack|com.hypertracklive.|io.hypertrack,2018-01-05,api\.hypertrack\.com|hypertrack\.amazonaws\.com|trck\.at,http://hypertrack.com
102,Estimote,"['Analytics', 'Location']",com.estimote.,2018-03-04,.*\.estimote\.com,https://estimote.com/
144,Sense360,"['Analytics', 'Location']",com.sense360.android.,2018-08-16,android-quinoa-config-prod\.sense360eng\.com|incoming-data-sense360\.s3\.amazonaws\.com|quinoa-personal-identify-prod\.sense360eng\.com,https://sense360.com/
174,CleverTap,"['Analytics', 'Profiling', 'Location']",com.clevertap.,2019-03-10,wzrkt\.com,https://clevertap.com/
181,Pilgrim by Foursquare,['Location'],com.foursquare.pilgrim|com.foursquare.pilgrimsdk.android,2019-03-19,sdk\.foursquare\.com,https://enterprise.foursquare.com/products/pilgrim
192,Swrve,"['Analytics', 'Profiling', 'Location']",com.swrve.sdk,2019-04-15,api\.swrve\.com|content\.swrve\.com,https://www.swrve.com/
208,Moodmedia,"['Advertisement', 'Location']",com.moodmedia,2019-06-20,moodpresence\.com,https://us.moodmedia.com/
209,Houndify,"['Identification', 'Location']",com.hound,2019-06-20,houndify\.com,https://www.houndify.com/
210,OpenX,"['Analytics', 'Advertisement', 'Location']",com.openx.view.plugplay|com.openx.android_sdk_openx,2019-06-20,openx\.com|openx\.net|openx\.org|us-ads\.openx\.net,https://www.openx.com/
212,Yinzcam Sobek,"['Analytics', 'Advertisement', 'Location']",com.yinzcam.sobek,2019-06-20,analytics\.yinzcam\.com,http://www.yinzcam.com/
245,Reveal Mobile,"['Analytics', 'Location']",com.stepleaderdigital.reveal,2019-11-09,,https://revealmobile.com/
279,Anagog,"['Analytics', 'Location']",com.anagog.jedai,2020-02-25,,https://anagog.com
280,Bazaarvoice,"['Analytics', 'Location']",com.bazaarvoice.bvandroidsdk,2020-02-25,,https://www.bazaarvoice.com/
281,BeaconsInSpace (Fysical),['Location'],com.beaconsinspace.android.beacon.detector.,2020-02-25,,https://beaconsinspace.com
283,Glympse,['Location'],com.glympse.android.,2020-02-25,\.glympse\.com,https://glympse.com
